,address,type,price,features,labels
1780,"2248 Ellis St APT D, North Las Vegas, NV 89030",Apartment for rent,$850/mo,"['2', '1', '3,040']","['sqft', 'ba', 'bds']"
1781,"2712 Royal St, North Las Vegas, NV 89030",House for sale,"$257,000","['4', '4', '1,294']","['sqft', 'ba', 'bds']"
1782,"3312 Tabor Ave, North Las Vegas, NV 89030",House for sale,"$159,900","['3', '1', '875']","['sqft', 'ba', 'bds']"
1783,"308 Kings Ave, North Las Vegas, NV 89030",House for sale,"$239,999","['4', '3', '1,646']","['sqft', 'ba', 'bds']"
1784,"3514 Dusty View St, North Las Vegas, NV 89030",House for sale,"$230,000","['4', '--', '1,369']","['sqft', 'ba', 'bds']"
1785,"2902 Crisp Wind Ct, North Las Vegas, NV 89030",House for rent,"$1,599/mo","['4', '2', '1,369']","['sqft', 'ba', 'bds']"
1786,"415 Miller Ave, North Las Vegas, NV 89030",House for sale,"$189,777","['3', '2', '1,056']","['sqft', 'ba', 'bds']"
1787,"2419 Daley St, North Las Vegas, NV 89030",Apartment for sale,"$330,000","['Studio', '--', '3,026']","['sqft', 'ba']"
1788,"Mccarra Mccarran St, Las Vegas, NV 89030",Apartment for sale,"$450,000","['Studio', '--', '864']","['sqft', 'ba']"
1789,"2100 Dogwood Ave, North Las Vegas, NV 89030",House for sale,"$175,000","['4', '2', '1,695']","['sqft', 'ba', 'bds']"
1790,"2212 Wayne Way, North Las Vegas, NV 89030",House for rent,"$1,195/mo","['3', '2', '1,404']","['sqft', 'ba', 'bds']"
1791,"Loma Vista Apartments | 1200 W Cheyenne Ave, North Las Vegas, NV",Loma Vista Apartments,,"['$930+', '$1,165+']","['2 bds', '1 bd']"
1792,"1836 Goldfield St, North Las Vegas, NV 89030",Apartment for rent,$795/mo,"['2', '2', '975']","['sqft', 'ba', 'bds']"
1793,"2418 Ellis St, North Las Vegas, NV 89030",Lot / Land for sale,"$57,999","['6,534']",['sqft lot']
1794,"1412 E Evans Ave, North Las Vegas, NV 89030",House for rent,"$1,300/mo","['4', '1', '1,372']","['sqft', 'ba', 'bds']"
1795,"2815 Berg St, North Las Vegas, NV 89030",Foreclosure,"$140,000","['2', '2', '939']","['sqft', 'ba', 'bds']"
1796,"3500 Mercury St, North Las Vegas, NV 89030",Townhouse for rent,"$1,195/mo","['2', '2', '1,080']","['sqft', 'ba', 'bds']"
1797,"3615 E Tonopah Ave, North Las Vegas, NV 89030",House for sale,"$220,000","['6', '2', '2,089']","['sqft', 'ba', 'bds']"
1798,"2521 E Webb Ave, North Las Vegas, NV 89030",Foreclosure,"$133,000","['3', '2', '962']","['sqft', 'ba', 'bds']"
1799,"2629 Bello Dr, North Las Vegas, NV 89030",Auction,"$173,033","['4', '2', '1,104']","['sqft', 'ba', 'bds']"
1800,"2900 Sunridge Heights Pkwy, Henderson, NV",For Rent,,"['$985+', '$1,025+']","['2 bds', '1 bd']"
1801,"3016 Sumter Valley Cir, Henderson, NV 89052",House for sale,"$475,000","['2', '2', '2,200']","['sqft', 'ba', 'bds']"
1802,"830 Blushing Rose Pl, Henderson, NV 89052",House for rent,"$1,500/mo","['3', '2.5', '1,173']","['sqft', 'ba', 'bds']"
1803,"862 Rainbolt Ln, Henderson, NV 89052",House for sale,"$474,999","['4', '3', '2,251']","['sqft', 'ba', 'bds']"
1804,"Empire | 915 Alper Center Dr, Henderson, NV",Empire,,"['$1,198+', '$1,398+', '$1,698+']","['2 bds', '1 bd', '3 bds']"
1805,"261 Fair Play St, Henderson, NV 89052",House for rent,"$1,995/mo","['3', '2', '1,898']","['sqft', 'ba', 'bds']"
1806,"830 Carnegie Street | 830 Carnegie Street 7, Henderson, NV",830 Carnegie Street,,"['$1,195+']",['2 bds']
1807,"2305 W Horizon Ridge Pkwy, Henderson, NV",For Rent,,"['$1,395+']",['3 bds']
1808,"1521 Ravanusa Dr, Henderson, NV 89052",House for sale,"$525,000","['4', '3', '2,855']","['sqft', 'ba', 'bds']"
1809,"Evolve | 3140 Saint Rose Pkwy, Henderson, NV",Evolve,,"['$1,168+', '$1,312+', '$1,505+']","['2 bds', '1 bd', '3 bds']"
1810,"875 Blue Rosalie Pl, Henderson, NV 89052",House for sale,"$249,999","['3', '3', '1,408']","['sqft', 'ba', 'bds']"
1811,"Blushing Rose Pl, Henderson, NV 89052",House for rent,"$1,500/mo","['3', '2.5', '1,173']","['sqft', 'ba', 'bds']"
1812,"4 Creeping Bend Ct, Henderson, NV 89052",House for rent,"$2,500/mo","['2', '2', '1,653']","['sqft', 'ba', 'bds']"
1813,"3721 Toscanella Ave, Henderson, NV 89052",House for sale,"$398,888","['3', '2', '1,826']","['sqft', 'ba', 'bds']"
1814,"950 7 Hills Drive | 950 7 Hls, Henderson, NV",950 7 Hills Drive,,"['$1,495+', '$1,350+']","['3 bds', '1 bd']"
1815,"Dune | 3080 Saint Rose Pkwy, Henderson, NV",Dune,,"['$1,119+', '$1,250+', '$1,740']","['2 bds', '1 bd', '3 bds']"
1816,"2755 Sunlight Creek St, Henderson, NV 89052",House for rent,"$2,650/mo","['5', '3', '3,017']","['sqft', 'ba', 'bds']"
1817,"1109 Autumn Blossom St, Henderson, NV 89052",House for rent,"$1,550/mo","['3', '2.5', '1,551']","['sqft', 'ba', 'bds']"
1818,"1338 Chorus St, Henderson, NV 89052",House for sale,"$449,500","['3', '2', '1,950']","['sqft', 'ba', 'bds']"
1819,"6 Weston Hills Rd, Henderson, NV 89052",House for sale,"$550,000","['3', '3', '1,653']","['sqft', 'ba', 'bds']"
